document_id,item,description,quantity,unit_price,line_total
TRADERJO-01-NA,R-CARROTS SHREDDED OZ,,1.0,1.29,1.29
TRADERJO-01-NA,R-CUCUMBERS PERSIAN LB,,1.0,1.99,1.99
TRADERJO-01-NA,TOMATOES CRUSHED NO SALT,,1.0,1.59,1.59
TRADERJO-01-NA,TOMATOES WHOLE NO SALT W/BASIL,,1.0,1.59,1.59
TRADERJO-01-NA,ORGANIC OLD FASHIONED OATMEAL,,1.0,2.69,2.69
TRADERJO-01-NA,MINI-PEARL TOMATOES,,1.0,2.49,2.49
TRADERJO-01-NA,PKG SHREDDED MOZZARELLA LITeT,,1.0,3.99,3.99
TRADERJO-01-NA,BEANS GARBANZO,,1.0,0.89,0.89
TRADERJO-01-NA,SPROUTED CA STYLE,,1.0,2.99,2.99
TRADERJO-01-NA,A-AVOCADOS HASS BAG ACT,,1.0,3.99,3.99
TRADERJO-01-NA,A-APPLE BAG JAZZ LB,,1.0,2.99,2.99
TRADERJO-01-NA,A-PEPPER BELL EACH XL RED,,1.0,0.99,0.99
TRADERJO-01-NA,BANANAS ORGANIC,,1.0,0.87,0.87
TRADERJO-01-NA,CREAMY SALTED PEANUT BUTTER,,1.0,2.49,2.49
TRADERJO-01-NA,WHL WHT PITA BREAD,,1.0,1.69,1.69
